,count,mean,std,min,25%,50%,75%,max,missing,missing_pct
fdi_pct_gdp,154.0,5.423975725914798,6.824823328449349,-16.20530048787064,2.2248642884846714,3.5007062739779222,5.691646790522526,32.59646101303017,0,0.0
inflation_gdp_deflator_pct,154.0,4.153051915298014,8.30167778799143,-20.8217881959754,1.2186048407747911,3.070657175540305,5.438114163188324,59.0796775560114,0,0.0
trade_pct_gdp,140.0,126.33633613833538,80.03657817445222,32.97217540024274,75.09189092041244,116.2384562453301,137.83426167689046,379.098631377539,14,9.090909090909092
ln_gdppc,154.0,8.459563992817493,1.2629584795839244,6.700805178969879,7.52657237728919,8.114932686518685,9.191018973084182,11.41088243440986,0,0.0
xr_dep_pct,143.0,5.137053790525851,40.232425247158,-9.430560533941446,-0.6182133681045698,0.5433460878307983,3.1407328910212584,476.795463489171,11,7.142857142857142
broad_money_pct_gdp,133.0,83.75683656956213,38.32869162103151,23.57207033697203,44.73598482987682,79.49570022198736,123.278603193283,148.6511478456114,21,13.636363636363635
deposit_interest_rate_pct,132.0,2.960473923658902,3.012006783557611,0.121666666666667,0.6418294944461846,1.5768605902777777,4.660187500000001,13.9935,22,14.285714285714285
real_interest_rate_pct,117.0,5.095129943930602,8.45129330674611,-30.12317017812921,2.349442611748309,4.594376748837573,8.349910634694735,41.29380330214884,37,24.025974025974026
lending_interest_rate_pct,117.0,8.41051194470251,4.417524146070957,3.06,5.25,5.6795,11.795,22.6125,37,24.025974025974026
ln_tourism_arrivals,154.0,15.14895666425496,1.640061627548728,10.596634733096073,14.735494089682643,15.279805153041103,16.34836383402864,17.50228780398634,0,0.0
hc_human_capital_index,140.0,2.4845505961350036,0.4804532389543196,1.66563439369202,1.9561723172664625,2.603211879730225,2.8299053311347953,3.39934206008911,14,9.090909090909092
